age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled,last_contact_channel,plan_tier_requested,broker_channel,prior_year_enrolled,contact_year,contact_month,contact_day,contact_dayofweek,n_employees_region,avg_salary_region,avg_premium_cost_usd,benefits_broker_rating,hr_outreach_capacity,open_enrollment_window_days,state_mandate_level,premium_salary_percentage,outreach_capacity_ratio,salary_diff_region
28,1.0,0.0,44047.6,1.0,3.0,0.0,1.4,0,2.0,0.0,1.0,0,2024,3,30,5,2582,65007.07,574,4.7,437,28,1.0,1.3031356986532752,0.16924864446165763,-20959.47
23,1.0,1.0,80111.28,1.0,0.0,1.0,0.5,1,1.0,5.0,0.0,-1,2024,4,18,3,2488,64921.46,595,4.4,469,18,0.0,0.7427168808187811,0.1885048231511254,15189.82
39,1.0,1.0,69855.65,1.0,2.0,1.0,3.4,1,3.0,4.0,0.0,0,2024,6,9,6,2424,65200.49,481,3.3,324,17,2.0,0.6885627719447175,0.13366336633663367,4655.159999999996
31,0.0,1.0,91567.33,1.0,2.0,0.0,1.2,1,0.0,3.0,1.0,1,2024,7,29,0,2424,65200.49,481,3.3,324,17,2.0,0.5252965222421577,0.13366336633663367,26366.840000000004
42,0.0,2.0,59861.68,0.0,0.0,1.0,20.0,0,0.0,5.0,1.0,-1,2024,5,6,0,2488,64921.46,595,4.4,469,18,0.0,0.9939580713404635,0.1885048231511254,-5059.779999999999
52,0.0,1.0,51330.25,0.0,1.0,0.0,0.8,0,0.0,0.0,0.0,-1,2024,1,12,4,2506,65008.32,455,3.1,151,38,1.0,0.8864168789359101,0.06025538707102953,-13678.07
59,0.0,3.0,74884.52,1.0,1.0,0.0,0.7,1,2.0,4.0,2.0,-1,2024,7,13,5,2506,65008.32,455,3.1,151,38,1.0,0.6076022120459609,0.06025538707102953,9876.200000000004
61,1.0,2.0,73525.85,1.0,0.0,1.0,1.4,1,0.0,4.0,2.0,-1,2024,8,1,3,2488,64921.46,595,4.4,469,18,0.0,0.8092391995468259,0.1885048231511254,8604.390000000007
38,1.0,2.0,70490.72,1.0,3.0,0.0,2.3,1,1.0,5.0,1.0,-1,2024,5,16,3,2582,65007.07,574,4.7,437,28,1.0,0.8142915833460064,0.16924864446165763,5483.6500000000015
39,0.0,2.0,50620.37,1.0,3.0,1.0,5.6,1,0.0,0.0,0.0,1,2024,5,26,6,2582,65007.07,574,4.7,437,28,1.0,1.133930866171069,0.16924864446165763,-14386.699999999997
22,0.0,1.0,70876.89,1.0,0.0,0.0,0.0,0,1.0,4.0,0.0,-1,2024,2,22,3,2488,64921.46,595,4.4,469,18,0.0,0.8394837866051966,0.1885048231511254,5955.43
